Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2022;43;227229;46.0;1.03;-2.47;3.51;22.0;32.0;6.1;11.9
2022;6;1101039;253.0;1.83;0.06;1.77;21.0;31.0;8.6;16.2
2022;70;233489;44.0;-2.59;-0.92;-1.67;22.0;31.0;6.8;13.0
2022;58;201110;30.0;-7.89;-6.65;-1.24;19.0;38.0;6.5;15.5
2022;38;1280557;171.0;5.38;4.91;0.47;25.0;25.0;6.5;11.3
2022;23;114609;21.0;-6.49;-9.86;3.37;18.0;40.0;7.1;18.3
2022;65;230579;51.0;0.59;-4.25;4.84;20.0;35.0;8.8;15.5
2022;89;332048;45.0;-3.04;-2.35;-0.69;22.0;32.0;7.1;14.3
2022;974;866181;342.0;4.54;12.0;-7.47;29.0;19.0;18.0;35.6
2022;67;1150899;240.0;4.7;3.19;1.5;23.0;26.0;6.7;13.2
2022;40;419507;45.0;8.14;-2.23;10.37;21.0;33.0;7.6;11.4
2022;56;767088;111.0;5.5;-1.7;7.2;22.0;33.0;6.5;11.5
2022;84;562533;157.0;2.91;2.53;0.38;24.0;29.0;10.1;19.5
2022;34;1203899;194.0;13.36;2.38;10.98;23.0;28.0;10.9;18.7
2022;53;306224;59.0;-0.26;1.02;-1.29;24.0;29.0;5.2;11.0
2022;972;356029;319.0;-9.24;1.78;-11.02;21.0;31.0;12.9;26.7
2022;95;1267124;1006.0;7.35;11.23;-3.88;29.0;20.0;8.8;17.0
2022;28;429083;73.0;-0.31;2.35;-2.66;25.0;28.0;7.0;11.8
2022;68;767736;217.0;1.95;2.17;-0.22;23.0;27.0;7.8;13.2
2022;46;174282;33.0;-0.27;-5.9;5.63;18.0;39.0;7.8;14.9
2022;39;257906;52.0;-1.3;-1.16;-0.13;22.0;31.0;5.3;11.2
2022;16;350888;59.0;-0.52;-2.86;2.35;20.0;33.0;7.5;14.6
2022;3;333042;45.0;-2.83;-4.66;1.83;20.0;36.0;8.3;15.3
2022;66;483558;116.0;6.86;-2.32;9.18;21.0;34.0;12.3;20.7
2022;42;766473;160.0;2.33;1.55;0.77;24.0;29.0;7.6;15.0
2022;10;310804;52.0;2.24;0.48;1.76;24.0;28.0;10.0;16.2
2022;94;1425072;5762.0;6.85;9.81;-2.96;26.0;21.0;7.7;16.6
2022;29;919983;136.0;2.24;-1.9;4.14;22.0;31.0;6.6;11.0
2022;30;751840;128.0;4.66;0.91;3.76;23.0;31.0;10.6;19.4
2022;86;439635;63.0;2.61;0.27;2.34;23.0;29.0;6.3;14.0
2022;971;377856;233.0;-6.62;3.9;-10.52;24.0;28.0;17.2;
2022;47;329848;62.0;-0.31;-2.7;2.39;21.0;34.0;7.9;16.8
2022;69;1899599;579.0;8.91;7.98;0.93;25.0;22.0;7.1;14.1
2022;9;153197;31.0;0.6;-3.96;4.56;20.0;35.0;9.8;17.9
2022;50;492667;83.0;-1.37;-2.16;0.78;21.0;33.0;5.6;11.4
2022;92;1636156;9255.0;3.45;9.25;-5.8;25.0;21.0;6.6;11.9
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
2023;5;140230;25.0;1.17;-0.8099999999999999;1.9900000000000002;20.788704271553875;33.46430863581259;6.7;13.9
2023;61;276600;45.0;-4.91;-3.01;-1.91;21.685827910339842;34.180766449746926;6.4;15.0
2023;28;430512;73.0;0.02;2.35;-2.33;25.026015534990893;27.4082952391571;6.6000000000000005;11.8
